id|publishedAt|channelId|title|description|thumbnailUrl|tags|category|defaultLanguage|duration|caption|viewCount|likeCount|dislikeCount|commentCount
USv8kot5gRY|2020-05-04T02:10:34Z|UCKfDOknt5Ia7wjWCYbQwefQ|"서울의 지하철 그리고 서울교통공사"|"지난 3년간의 지하철사진 공모전 수상작 2020년 지하철사진 공모전도 많은 관심 부탁드립니다~"|https://i.ytimg.com/vi/USv8kot5gRY/default.jpg|"지하철사진공모전서울교통공사서울지하철"|2|ko|PT1M53S|false|1305|106|5|18
QtJ4ICZ9vQc|2020-04-27T00:04:55Z|UCKfDOknt5Ia7wjWCYbQwefQ|"몰랑이와 함께 지키는 기침예절"|"프랑스 애니메이션 제작배급사인 밀리마주와 함께 '몰랑이' 캐릭터로 제작한 기침예절 영상 입니다 기침할땐 옷소매로 입을 가리고~~~  #몰랑 #지하철 #예절 #서울교통공사"|https://i.ytimg.com/vi/QtJ4ICZ9vQc/default.jpg|"몰랑기침예절서울교통공사"|2|ko|PT37S|false|3700|135|5|36
mF9TAVkTBG0|2020-03-30T05:35:49Z|UCKfDOknt5Ia7wjWCYbQwefQ|"평일 심야시간대 서울지하철 1시간 단축운행 실시"|"코로나19(COVID-19)유행의 장기화로 인한 강도 높은 '사회적 거리두기'와 지속가능한 '안전 및 방역품질 확보'를 위해 2020년 4월1일부터 평일 심야시간대 서울지하철 1시간 단축운행을 실시합니다."|https://i.ytimg.com/vi/mF9TAVkTBG0/default.jpg|NULL|2|ko|PT25S|false|564|13|1|4
QKzHf3c7P_4|2020-03-25T07:04:54Z|UCKfDOknt5Ia7wjWCYbQwefQ|"미세먼지 게 섰거라!  청담역 미세먼지 프리존"|"미세먼지가 기승을 부리는 계절이 왔습니다. 미세먼지 제로인 청담역에서 상쾌한 봄을 만끽하세요!"|https://i.ytimg.com/vi/QKzHf3c7P_4/default.jpg|"청담역미세먼지프리존미세먼지제로청담역서울교통공사"|2|ko|PT2M36S|false|393|14|2|3
5Vau5rihiiw|2020-03-20T01:17:28Z|UCKfDOknt5Ia7wjWCYbQwefQ|"우리 함께 이겨내요!"|"서울교통공사는 지하철 역사내와 전동차내 방역소독에 최선을 다하고 있습니다 우리는 반드시 이겨낼 수 있습니다"|https://i.ytimg.com/vi/5Vau5rihiiw/default.jpg|"코로나19방역지하철방역소독서울교통공사함께이겨내요"|2|ko|PT1M18S|false|2034|30|3|10
pMmWB2mfVos|2020-03-03T04:54:34Z|UCKfDOknt5Ia7wjWCYbQwefQ|"코로나19 우리는 반드시 극복할 수 있습니다!"|"서울교통공사는 코로나19 위기경보 "심각" 단계 격상에 따라 시민 안전을 위해 방역활동을 강화하고 있습니다. 역사 및 전동차 내 소독주기를 단축하고, 확진자 발생 시 긴급방역을 실시하고 있으니 시민여러분께서는 안심하고 지하철을 이용해 주시기 바랍니다."|https://i.ytimg.com/vi/pMmWB2mfVos/default.jpg|NULL|2|ko|PT36S|false|1051|39|1|3
6ygnFIcf7eE|2020-02-27T08:53:00Z|UCKfDOknt5Ia7wjWCYbQwefQ|"서울 도심집회 제한 확대안내"|"코로나19 확산 방지를 위한 도심내 집회 금지가 확대 됩니다 서울역광장, 서울청계광화문광장, 효자동삼거리광장,신문로,종로1가, 광화문광장-국무총리공관 도로 및 주변 인도 등"|https://i.ytimg.com/vi/6ygnFIcf7eE/default.jpg|NULL|2|ko|PT21S|false|205|11|0|0
lWl6FWw8Bdc|2020-02-26T07:57:01Z|UCKfDOknt5Ia7wjWCYbQwefQ|"코로나바이러스감염증-19 행동수칙_의심시"|"발열, 기침 등 호흡기 증상이 있을시 응급실 방문자제 전화먼저하기(관활보건소1339120) 의료기관 방문시 마스크 꼭 착용, 자차 이용 권고"|https://i.ytimg.com/vi/lWl6FWw8Bdc/default.jpg|NULL|2|ko|PT21S|false|274|11|1|1
aTZntzjmqvE|2020-02-26T07:46:45Z|UCKfDOknt5Ia7wjWCYbQwefQ|"코로나바이러스감염증-19 국민예방수칙"|"* 가급적 외부활동 자제 * 손씻기, 기침예절 준수 * 발열, 호흡기 증상시 선별진료소 방문     또는 관활보건소, 지역120콜센타, 1339콜센타 상담"|https://i.ytimg.com/vi/aTZntzjmqvE/default.jpg|NULL|2|ko|PT30S|false|378|15|0|2
YF0MtotqOF0|2020-01-28T07:48:33Z|UCKfDOknt5Ia7wjWCYbQwefQ|"나만을 위한 구두! 성수역으로_수제화 테마역사"|"수제화를 주제로한 성수역 수제화테마역사 입니다 우리나라 수제화의 역사와 제작상식, 제작도구등 다양한 볼거리와 1번출구로 나가면 수제화거리가 있어 쇼핑도 즐길 수 있어요"|https://i.ytimg.com/vi/YF0MtotqOF0/default.jpg|"성수역수제화테마역사수제화거리겨울방학체험서울교통공사"|2|ko|PT1M21S|false|403|21|1|4
